Time,Rel. Hum,h_gas,h_water,dens,temp,pres,vapor
8,2.109675497,-2.7660357e+01, 1.9757398e+01,0.0100,153.8927169,-7.9029592e+03,0.0100
10,2.109675497,-2.7660357e+01, 1.9757398e+01,0.0100,153.8927169,-7.9029592e+03,0.0100
